Reference AGB,RF-predicted AGB
168,175.6907
123,128.5948333
80,181.5097
172,167.5123
58,90.26606667
86,98.26423333
142,139.3798667
201,156.2074667
163,142.5774
172,191.9425
143,142.1597333
141,134.7783667
49,96.942
110,139.4740667
214,145.5063333
125,82.02116667
153,150.7139667
48,132.7997667
81,126.9198333
103,85.97596667
96,161.3510333
112,164.2973
229,204.3187333
157,149.7700333
122,118.7764
139,113.5821
72,111.0270333
140,114.8526
152,161.6009
110,169.3783333
75,134.5946333
140,174.7912667
74,82.5185
127,127.7100333
102,80.25033333
105,144.0070333
142,143.3956333
77,69.95266667
80,86.16046667
174,182.7432
128,70.18913333
238,180.4474667
27,76.0621
106,132.7483667
183,159.4622667
65,118.9693667
80,115.9738
96,101.2466667
67,100.734
107,134.9173667
184,167.8097
100,145.2652667
104,90.67136667
84,133.3780667
52,75.79963333
136,192.1967
61,98.75943333
107,136.8146333
162,197.0167333
173,171.6332
96,90.64826667
95,125.4591667
86,165.1919667
202,183.3701333
177,86.29063333
113,166.4432667
139,160.3215333
96,116.2081333
121,154.4015
129,108.3640667
102,119.5888333
96,146.6924
193,203.5714
109,131.4420667
71,139.5926
94,124.9675
166,158.8454333
126,127.9548
95,147.9928333
32,86.191
180,246.4617667
100,125.7427
185,184.3549
165,189.2799
79,85.8764
140,157.7560667
129,127.3534333
130,136.0007
112,173.6535667
194,179.1635
125,130.2625333
133,167.1695
111,138.6920667
108,79.39963333
115,117.6058667
86,94.31553333
53,78.3643
65,80.47356667
55,66.0247
102,122.6828
108,112.3108667
139,133.5124667
84,97.1193
62,81.15586667
114,112.5828333
253,214.8001
52,78.97706667
183,133.9057333
232,205.8071333
12,131.6754333
67,103.5375
69,71.972
125,101.7539
112,145.7522
123,151.7383333
185,134.0497333
17,76.73
128,134.2676
40,67.20973333
90,70.42933333
141,152.1000333
128,120.3420667
39,140.6080667
139,161.8225667
124,127.5611667
135,156.8902667
234,128.6694
140,146.4970333
233,178.3301333
163,152.5267
106,129.5113667
136,82.50023333
30,131.2713333
88,143.0812667
14,69.73206667
